%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1609056014486882067,1548,1609056014486882067,-0.000247578994284,0.000173899066112,0.00134117346596,0.0,0.0,0.0,1.0
1609056014537453032,1549,1609056014537453032,-0.000580042947004,0.000261081915269,0.0012007562611,0.0,0.0,0.0,1.0
1609056014586028910,1550,1609056014586028910,-0.000403807366812,0.000178057547856,0.00183853613163,0.0,0.0,0.0,1.0
1609056014637585021,1551,1609056014637585021,-0.000238857440689,9.19901144556e-05,0.00153045795092,0.0,0.0,0.0,1.0
1609056014740033961,1552,1609056014740033961,-0.00019442682153,4.76292151248e-05,4.90968591489e-05,0.0,0.0,0.0,1.0
1609056014786198950,1553,1609056014786198950,-0.000532633441495,-0.000190414145891,-0.000144541388027,0.0,0.0,0.0,1.0
1609056014837397910,1554,1609056014837397910,-0.000117518128448,-0.000143568497677,6.3408014821e-06,0.0,0.0,0.0,1.0
1609056014884882069,1555,1609056014884882069,-0.000277246117463,-0.000120547390416,-0.000267976279209,0.0,0.0,0.0,1.0
1609056014939689017,1556,1609056014939689017,2.73646046516e-05,-2.04017041483e-07,-8.23785879929e-05,0.0,0.0,0.0,1.0
1609056014985713101,1557,1609056014985713101,-0.00048157024456,4.00490421271e-05,-0.00012536887944,0.0,0.0,0.0,1.0
1609056015039748049,1558,1609056015039748049,-0.000446680927325,-0.000175472973119,-0.000263176239766,0.0,0.0,0.0,1.0
1609056015086336947,1559,1609056015086336947,-0.000552045911871,-0.000178710491475,1.7842533004e-05,0.0,0.0,0.0,1.0
1609056015138361073,1560,1609056015138361073,-0.000440305331626,-0.000170157413947,-0.000234143208881,0.0,0.0,0.0,1.0
1609056015189272023,1561,1609056015189272023,-0.000434023062798,-0.000163200294722,-0.000190073991838,0.0,0.0,0.0,1.0
1609056015239884949,1562,1609056015239884949,-0.000451905999459,-0.000116083292951,0.000286268696314,0.0,0.0,0.0,1.0
1609056015286747075,1563,1609056015286747075,-0.000321688577777,-0.000108149277445,-2.56778281535e-05,0.0,0.0,0.0,1.0
1609056015336018897,1564,1609056015336018897,-0.000482339823613,-3.78496062865e-05,0.000127877065783,0.0,0.0,0.0,1.0
1609056015386971093,1565,1609056015386971093,-0.000222238404113,6.65308848582e-05,0.000300939192845,0.0,0.0,0.0,1.0
1609056015439808941,1566,1609056015439808941,-0.000356279913344,-4.67580706598e-05,0.000628232948132,0.0,0.0,0.0,1.0
1609056015486121989,1567,1609056015486121989,-0.000332921995192,-7.84137963166e-05,0.000274790453687,0.0,0.0,0.0,1.0
1609056015538884020,1568,1609056015538884020,-0.000224902653482,7.85185496781e-05,0.000416587441143,0.0,0.0,0.0,1.0
1609056015585574008,1569,1609056015585574008,-0.000466644074844,-7.72437423748e-05,0.000678944759308,0.0,0.0,0.0,1.0
1609056015648938036,1570,1609056015648938036,-0.000450541807382,-0.000100893160209,0.000418858327989,0.0,0.0,0.0,1.0
1609056015691803074,1571,1609056015691803074,-0.000362856808461,-1.21845334249e-05,0.000958535837054,0.0,0.0,0.0,1.0
1609056015737182951,1572,1609056015737182951,-0.000328179163201,-6.63571774595e-06,0.000906355149111,0.0,0.0,0.0,1.0
1609056015786582089,1573,1609056015786582089,-0.000200155929832,7.99238630691e-05,0.00130798888154,0.0,0.0,0.0,1.0
1609056015837288952,1574,1609056015837288952,-0.000203191434355,7.51871945326e-05,0.00127432220622,0.0,0.0,0.0,1.0
1609056015887940980,1575,1609056015887940980,-0.000208588116546,5.85064906531e-05,0.00114017993462,0.0,0.0,0.0,1.0
1609056015939095116,1576,1609056015939095116,-0.000136131635237,0.00038111648702,0.000973518244948,0.0,0.0,0.0,1.0
1609056015986292935,1577,1609056015986292935,-0.000274568484915,0.00032158670669,0.00084564912191,0.0,0.0,0.0,1.0
1609056016039042092,1578,1609056016039042092,-0.000127355620595,0.000315372829085,0.00130802782583,0.0,0.0,0.0,1.0
1609056016147761918,1579,1609056016147761918,7.46674052046e-05,0.00025313997147,0.00110521249636,0.0,0.0,0.0,1.0
1609056016194602109,1580,1609056016194602109,-0.000182049795949,0.000498421754223,0.00121210414183,0.0,0.0,0.0,1.0
1609056016282272912,1581,1609056016282272912,-0.0002032078364,0.000187968550875,0.000385477788186,0.0,0.0,0.0,1.0
1609056016330427981,1582,1609056016330427981,-3.48821712066e-05,7.30363728252e-05,-0.00114342196913,0.0,0.0,0.0,1.0
1609056016394249058,1583,1609056016394249058,-1.29422255419e-05,0.000398497545625,0.000767197390978,0.0,0.0,0.0,1.0
1609056016480572081,1584,1609056016480572081,-3.56949622038e-05,0.00109032971054,0.00515456723232,0.0,0.0,0.0,1.0
1609056016580355025,1585,1609056016580355025,-9.31816873617e-05,0.0012084507198,0.00543473333524,0.0,0.0,0.0,1.0
1609056016642782069,1586,1609056016642782069,0.000450335867434,0.00168015398135,0.00617454604917,0.0,0.0,0.0,1.0
1609056016686981059,1587,1609056016686981059,-1.41105739537e-05,0.00131501639279,0.00616095124917,0.0,0.0,0.0,1.0
1609056016730403996,1588,1609056016730403996,-8.68613780725e-05,0.000392330786788,-2.22217675114e-05,0.0,0.0,0.0,1.0
1609056016782174922,1589,1609056016782174922,-0.00100759327601,-0.000430396957142,-0.000904486749683,0.0,0.0,0.0,1.0
1609056016849476910,1590,1609056016849476910,-0.00281570272272,-0.00229424347427,-0.000924643424444,0.0,0.0,0.0,1.0
1609056016892772055,1591,1609056016892772055,-0.00319827130823,-0.00294690031866,4.14977830587e-05,0.0,0.0,0.0,1.0
1609056016937801934,1592,1609056016937801934,-0.00352462224452,-0.00325712860931,0.000115554421237,0.0,0.0,0.0,1.0
1609056017028194047,1593,1609056017028194047,-0.00387168316046,-0.00371347981248,0.000839621739033,0.0,0.0,0.0,1.0
1609056017079713917,1594,1609056017079713917,-0.00393850800657,-0.00318855508647,0.00290272221555,0.0,0.0,0.0,1.0
1609056017141049004,1595,1609056017141049004,-0.00317115212483,-0.00271509787405,0.00109469169128,0.0,0.0,0.0,1.0
1609056017186519957,1596,1609056017186519957,-0.00300739221077,-0.00256586054084,5.15578110942e-05,0.0,0.0,0.0,1.0
1609056017230990029,1597,1609056017230990029,-0.00232511365087,-0.00186903011226,0.00145489461436,0.0,0.0,0.0,1.0
1609056017281185961,1598,1609056017281185961,-0.00203476107314,-0.00175829077936,-0.00125847351052,0.0,0.0,0.0,1.0
